TableA.xlsx - TABLE A
;Label;Parameter;Implication(s);Ga;Ck;Qui;Ka;Ku;Inu;TP;Rib;SMX;Mus;Aid;Ncs;RG;CT;SFM;RC;Nic;CZ;Cut;Ver;FS;Fel;PCa;SMC;FrM;Gar;Bar;BA;TA;Mes;Cel;Bot;TE;Sav;RE;Cor;Nov;PR;Cas;Pvi;MdL;TS;It;Sp;Nis;Fr;Ptg;PtgB;Rm;LNT;Lat;LSa;LIt;HG;ClG;NTG;SaG;CGA;CGB;Grk;RPG;Ph1;Ph2;Cap;CyG;Got;Bw;WS;E;Du;Afk;D;Da;Ice;FO;Nor;Swe;Blg;BlC;SC;Slo;Po;Rus;Ir;Wel;Ma;Hi;Far;Pas;Ta;Te;Man;Can;Jap;Kor;Ar;Heb;Hu;Kh1;Kh2;Est;Fin;mM1;mM2;Ud1;Ud2;Yu;Ev1;Ev2;Ek;Ya;Uz;Kaz;Kyr;Tur;Bur;cB;wB;Wo;Ee;Nde;Mal;Mly;Arc;Lak;Label;
38;EAL;± ergative alignment;+FGK, +CSE;0;?;0;0;?;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;0;0;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;0;+;+;EAL;36
39;CAL;± clausal alignment;¬+GP3, -EAL;0;?;0;0;?;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;+;+;0;0;-;-;-;+;0;0;0;-;-;0;0;0;0;-;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;0;0;0;CAL;37
40;LKA;± argument linker;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;LKA;38
41;LKO;± oblique linker;-LKA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;0;-;0;-;-;-;-;LKO;39
42;LKP;± predicative linker;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;LKP;40
43;DMP;± def matching pronominal possessives;+DCN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;+;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;-;+;-;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DMP;41
44;DMG;± def matching genitives;+DMP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;+;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;-;0;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DMG;42
45;GUN;± uniform genitive;(-GCN or -GP3), -CAL, -LKA;0;0;+;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;+;+;;;+;+;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;GUN;43
46;GAD;± free Gen;-LKA, ¬+GUN;-;-;0;-;-;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;0;0;;;0;0;-;-;-;-;-;-;-;-;-;-;-;?;-;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;0;+;+;+;0;0;0;0;+;+;-;-;-;0;0;-;-;+;+;+;-;-;-;-;-;-;-;-;+;+;+;0;?;0;-;-;-;-;GAD;44
47;GFL;± active GenL;(-GCN or +GFN), ¬+GP3, ¬+EAL, ¬+GUN;0;0;0;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;0;+;+;+;+;+;+;+;+;+;+;+;?;-;-;-;-;+;-;+;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;-;-;-;0;?;-;0;-;0;0;GFL;45
48;PGL;± partial GenL;+DGR, -GFL;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;?;-;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;+;-;-;-;0;-;0;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;?;0;0;0;0;0;PGL;46
49;GGH;± generalized GenH;-CGR, +NWD, ¬+GFP, ¬+GUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;-;-;+;0;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;GGH;47
50;GSI;± grammaticalized inalienability;;+;+;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;GSI;48
51;ALP;± alienable possession;-GSI;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ALP;49
52;GIT;± genitive-licensing iteration;;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;+;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;GIT;52
53;UST;± unstructured modifiers;+ARR;-;+;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;0;0;0;0;-;-;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;-;-;+;+;0;0;0;0;0;0;0;0;0;0;0;+;-;-;-;-;+;-;-;-;-;0;0;-;0;+;0;0;0;0;UST;53
54;GPC;± gender-polarity cardinals;+FGG;-;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;-;-;GPC;54
55;PSC;± plural spread from cardinal quantifiers;+FSN, ¬+UST, ¬+GPC;+;0;-;?;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;-;+;+;+;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;0;+;+;+;-;0;-;-;-;-;0;0;0;+;0;0;0;-;-;PSC;55
56;PCA;± plural spread through cardinal adjectives;-PSC;0;0;-;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;-;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;0;0;0;0;-;0;-;-;-;-;0;0;0;0;0;0;0;-;-;PCA;56
57;PMN;± person marking on numerals;+GFP;?;?;0;?;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;0;-;+;+;+;+;0;-;-;-;-;-;-;-;-;-;0;0;0;0;0;-;0;0;0;PMN;57
58;RHM;± person marking on the head of relative clauses;+GP3, +GFP;?;?;0;?;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;0;0;-;-;-;-;0;-;-;-;+;-;-;-;-;0;0;0;0;0;0;-;0;0;0;RHM;58
59;FRC;± finite relative clauses;;+;+;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;-;+;+;+;-;+;-;+;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;-;-;FRC;59
60;NRC;± participial relative clauses;+FRC;?;-;0;-;+;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;?;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;0;0;-;-;+;-;-;-;-;0;+;-;+;0;+;0;+;0;0;0;0;0;0;0;0;0;0;+;+;-;-;-;+;-;0;0;NRC;60
61;DOR;± def on relatives;+DGR, +FRC;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;+;-;0;?;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;0;0;0;0;0;DOR;61
62;FFP;± feature spread to particles;+FGN, ¬+GFP, (+LKA or +LKP or +LKO or (-GUN, ¬-GAD));?;?;0;?;0;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;+;+;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;-;+;?;+;0;0;0;0;FFP;62
63;NUP;± complement under N;+FGP;+;+;+;?;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;-;-;0;0;0;0;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;?;?;+;+;-;-;NUP;63
64;PNP;± complement under P;+NUP;-;-;-;?;-;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;+;-;0;0;0;0;0;0;+;+;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;?;?;+;+;0;0;PNP;64
65;NUD;± NP under D;+FGP;-;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;+;+;+;NUD;65
66;NUC;± N under cardinals;¬+UST, +PNP, +NUD;0;0;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;+;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;0;0;NUC;66
67;NM1;± N under M1 As;+NUC;0;0;0;0;0;0;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;+;+;+;+;?;+;+;+;;;+;+;+;-;-;-;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;-;0;0;NM1;67
68;EAF;± fronted high As;-NM1;0;0;0;0;0;0;-;-;-;-;-;0;-;-;-;+;-;-;+;-;-;+;-;+;+;+;-;+;+;-;-;-;+;+;+;+;+;+;+;0;+;0;0;0;0;0;0;?;0;0;0;;;0;0;0;-;-;-;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;EAF;71
69;NM2;± N under M2 As;+NM1;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;-;-;-;-;-;-;?;-;+;+;;;+;+;+;0;0;0;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;NM2;68
70;NUA;± N under As;+NM2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;+;+;;;+;+;+;0;0;0;+;+;+;+;+;+;+;?;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;NUA;69
71;NGL;± N under GenL;((+FGP, +UST) or +NUA), (+GUN or +GFL or +PGL);0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;+;+;;;+;+;-;0;0;0;-;+;+;+;+;-;-;?;-;0;0;0;-;0;-;0;0;0;0;0;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;NGL;70
72;ACM;± class MOD;-ARR, -NGL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;-;0;0;0;-;0;-;0;0;0;0;0;-;-;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ACM;72
73;DSN;± def spread to N;+DCN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;-;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;-;-;+;+;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DSN;73
74;DSA;± def spread to ARR;+DGR, +ARR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;+;+;-;+;-;+;0;0;0;0;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;?;0;0;0;0;0;DSA;74
75;DSS;± def spread to structured categories;+DGR, (-ARR or +DSA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;-;-;0;-;0;-;+;+;+;+;-;0;?;-;-;-;-;-;-;-;-;-;-;-;+;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;+;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;DSS;75
76;DOC;± def on cardinals;-NWD, +DCN, +NUC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;-;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DOC;76
77;NEX;± Proper names in D;(-FSN or -CGR), -NWD, ¬+NUA;0;0;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;0;0;;;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;-;0;0;0;NEX;77
78;PEX;± Personal names in D;+NEX;0;0;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;PEX;78
79;FEX;± Partial personal names in D;+PEX;0;0;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;+;-;-;-;-;-;-;-;-;+;+;+;+;+;+;?;+;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;FEX;79
80;PDC;± D-checking possessives;+DGR, (¬-CGR or -NWD), ¬+GFP;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;+;-;+;+;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;+;0;0;0;0;0;+;0;0;0;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;PDC;80
81;PCL;± clitic possessives;+FGP, ¬+GFP, ¬+DMP, (-PDC or ¬+DGR);?;0;-;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;-;-;-;-;-;-;0;-;0;0;?;0;-;-;;;+;+;+;+;+;+;+;+;+;+;+;+;-;?;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;-;-;+;+;-;-;0;0;0;0;-;-;0;0;0;-;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;-;+;?;0;0;+;-;-;PCL;81
82;APO;± adjectival possessives;¬+GFP, ¬+UST;?;0;-;?;?;?;+;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;?;-;+;+;;;+;+;+;-;-;-;-;+;+;+;+;-;-;?;+;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;0;0;-;-;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;?;0;0;-;-;-;APO;82
97;FPO;± feature spread to APO;+FSN, +APO;;;;;;;+;-;-;-;-;+;+;-;0;+;+;+;-;0;+;+;+;+;-;-;+;+;+;-;+;-;0;0;0;0;0;0;0;0;0;+;+;+;?;0;+;?;0;;;;;;;;0;0;0;0;+;+;+;+;0;0;?;;0;0;0;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
83;WAP;± Wackernagel possessives;¬+DMP, +NUD, -PDC, (-APO or (-NM1, +APO));0;0;0;0;0;0;+;+;+;+;+;0;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;+;0;+;+;+;+;+;0;0;0;0;0;0;?;0;0;0;;;0;0;0;-;-;-;-;0;0;0;0;-;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;WAP;83
84;AGE;± adjectival genitive;+APO;0;0;0;0;?;0;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;-;-;-;-;0;-;?;0;-;-;;;-;-;-;0;0;0;0;-;-;-;-;0;0;?;-;0;0;0;0;0;0;0;0;0;+;+;+;+;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;AGE;84
