TableA.xlsx - TABLE A
;Label;Parameter;Implication(s);Ga;Ck;Qui;Ka;Ku;Inu;TP;Rib;SMX;Mus;Aid;Ncs;RG;CT;SFM;RC;Nic;CZ;Cut;Ver;FS;Fel;PCa;SMC;FrM;Gar;Bar;BA;TA;Mes;Cel;Bot;TE;Sav;RE;Cor;Nov;PR;Cas;Pvi;MdL;TS;It;Sp;Nis;Fr;Ptg;PtgB;Rm;LNT;Lat;LSa;LIt;HG;ClG;NTG;SaG;CGA;CGB;Grk;RPG;Ph1;Ph2;Cap;CyG;Got;Bw;WS;E;Du;Afk;D;Da;Ice;FO;Nor;Swe;Blg;BlC;SC;Slo;Po;Rus;Ir;Wel;Ma;Hi;Far;Pas;Ta;Te;Man;Can;Jap;Kor;Ar;Heb;Hu;Kh1;Kh2;Est;Fin;mM1;mM2;Ud1;Ud2;Yu;Ev1;Ev2;Ek;Ya;Uz;Kaz;Kyr;Tur;Bur;cB;wB;Wo;Ee;Nde;Mal;Mly;Arc;Lak;Label;
10;FSN;± number spread to N;+FGN;+;0;+;+;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;-;0;+;+;FSN;10
11;FNN;± number on N;+FSN;+;0;+;+;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;-;-;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;+;+;0;0;+;+;FNN;11
95;FBN;± long distance number;+FNN;-;0;-;-;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;0;+;-;-;+;+;+;+;-;0;0;0;0;0;0;+;+;+;+;+;0;0;+;?;+;-;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;+;+;0;0;+;+;FBN;
12;FGT;± grammaticalized temporality;;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;-;-;-;FGT;12
13;FGG;± grammaticalized gender;+FGN;+;0;-;+;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;0;0;0;0;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;0;+;+;FGG;13
14;FSG;± semantic gender;+FGN;+;0;-;+;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;+;+;+;0;0;0;0;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;0;+;+;FSG;14
15;CGB;± unbounded sg N;;+;?;+;+;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;+;+;+;+;-;-;-;-;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;+;+;+;+;CGB;15
16;FPC;± grammaticalized perception;;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;FPC;16
17;DGR;± grammaticalized Specified Quantity;+FGN, -FPC;-;0;-;0;0;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;?;+;-;-;;;-;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;+;+;-;-;-;-;-;-;0;0;0;0;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;-;-;0;-;-;DGR;17
18;DGP;± grammaticalized text anaphora;¬+DGR;+;-;+;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;-;-;;;-;0;0;0;0;0;0;0;0;0;0;0;+;-;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;+;+;+;+;DGP;18
